Sura;Aya;Bagian;Arabic;Transliteration;Transcript
12;51;2;مَا عَلِمْنَا عَلَيْهِ مِنْ سُوْۤءٍ ۗقَالَتِ امْرَاَتُ الْعَزِيْزِ الْـٰٔنَ حَصْحَصَ; mā 'alimnā 'alaihi min sū`, qālatimra`atul-'azīzil-āna ḥaṣ-ḥaṣa;i mā 'a lim nā 'a lai hi min sū` , qā la tim ra `a tul 'a zī zil ā na ḥaṣ ḥa ṣa
12;51;3;الْحَقُّۖ اَنَا۠ رَاوَدْتُّهٗ عَنْ نَّفْسِهٖ وَاِنَّهٗ لَمِنَ الصّٰدِقِيْنَ;l-ḥaqqu ana rāwattuhụ 'an nafsihī wa innahụ laminaṣ-ṣādiq;al ḥaq qu a na rā wat tu hụ 'an naf si hī wa in na hụ la mi naṣ ṣā di q
12;52;1;ذٰلِكَ لِيَعْلَمَ اَنِّيْ لَمْ اَخُنْهُ بِالْغَيْبِ وَاَنَّ اللّٰهَ لَا يَهْدِيْ كَيْدَ الْخَاۤىِٕنِيْنَ ۔;żālika liya'lama annī lam akhun-hu bil-gaibi wa annallāha lā yahdī kaidal-khā`inīn;żā li ka li ya' la ma an nī lam a khun hu bil gai bi wa an nall llā ha lā yah dī kai dal khā `i n
12;53;1;۞ وَمَآ اُبَرِّئُ نَفْسِيْۚ اِنَّ النَّفْسَ لَاَمَّارَةٌ ۢ بِالسُّوْۤءِ;wa mā ubarri`u nafsī, innan-nafsa la`ammāratum bis-sū`;wa mā u bar ri `u naf sī , in nan naf sa la `am mā ra tum bis sū `
12;53;2;اِلَّا مَا رَحِمَ رَبِّيْۗ اِنَّ رَبِّيْ غَفُوْرٌ رَّحِيْمٌ;illā mā raḥima rabbī, inna rabbī gafụrur raḥīm;i il lā mā ra ḥi ma rab bī , in na rab bī ga fụ rur ra ḥīm
12;54;1;وَقَالَ الْمَلِكُ ائْتُوْنِيْ بِهٖٓ اَسْتَخْلِصْهُ لِنَفْسِيْۚ فَلَمَّا;qālal-maliku`tụnī bihī astakhliṣ-hu linafsī, fa lamm;a qā lal ma li ku` tụ nī bi hī as takh liṣ hu li naf sī , fa lam m
12;54;2;كَلَّمَهٗ قَالَ اِنَّكَ الْيَوْمَ لَدَيْنَا مَكِيْنٌ اَمِيْنٌ;kallamahụ qāla innakal-yauma ladainā makīnun amīn;ā kal la ma hụ qā la in na kal yau ma la dai nā ma kī nun a mīn
12;55;1;قَالَ اجْعَلْنِيْ عَلٰى خَزَاۤىِٕنِ الْاَرْضِۚ اِنِّيْ حَفِيْظٌ عَلِيْمٌ;qālaj'alnī 'alā khazā`inil-arḍ, innī ḥafīẓun 'alīm;qā laj 'al nī 'a lā kha zā `i nil arḍ , in nī ḥa fī ẓun 'a līm
12;56;1;وَكَذٰلِكَ مَكَّنَّا لِيُوْسُفَ فِى الْاَرْضِ يَتَبَوَّاُ مِنْهَا حَيْثُ يَشَاۤءُۗ;wa każālika makkannā liyụsufa fil-arḍi yatabawwa`u min-hā ḥaiṡu yasyā;wa ka żā li ka mak kan nā li yụ su fa fil ar ḍi ya ta baw wa `u min hā ḥai ṡu ya syā
12;56;2;نُصِيْبُ بِرَحْمَتِنَا مَنْ نَّشَاۤءُ وَلَا نُضِيْعُ اَجْرَ الْمُحْسِنِيْنَ;nuṣību biraḥmatinā man nasyā`u wa lā nuḍī'u ajral-muḥsinīn;, nu ṣī bu bi raḥ ma ti nā man na syā `u wa lā nu ḍī 'u aj ral muḥ si nīn
12;57;1;وَلَاَجْرُ الْاٰخِرَةِ خَيْرٌ لِّلَّذِيْنَ اٰمَنُوْا وَكَانُوْا يَتَّقُوْنَ ࣖ;wa la`ajrul-ākhirati khairul lillażīna āmanụ wa kānụ yattaqụn;wa la `aj rul ā khi ra ti khai rul lil la żī na ā ma nụ wa kā nụ yat ta qụn
12;58;1;وَجَاۤءَ اِخْوَةُ يُوْسُفَ فَدَخَلُوْا عَلَيْهِ فَعَرَفَهُمْ وَهُمْ لَهٗ مُنْكِرُوْنَ;wa jā`a ikhwatu yụsufa fa dakhalụ 'alaihi fa 'arafahum wa hum lahụ mungkirụn;wa jā `a ikh wa tu yụ su fa fa da kha lụ 'a lai hi fa 'a ra fa hum wa hum la hụ mung ki rụn
12;59;1;وَلَمَّا جَهَّزَهُمْ بِجَهَازِهِمْ قَالَ ائْتُوْنِيْ بِاَخٍ لَّكُمْ مِّنْ اَبِيْكُمْ;wa lammā jahhazahum bijahāzihim qāla`tụnī bi`akhil lakum min abīkum;wa lam mā jah ha za hum bi ja hā zi him qā la` tụ nī bi `a khil la kum min a bī kum
12;59;2;ۚ اَلَا تَرَوْنَ اَنِّيْٓ اُوْفِى الْكَيْلَ وَاَنَا۠ خَيْرُ الْمُنْزِلِيْنَ; alā tarauna annī ụfil-kaila wa ana khairul-munzilī;, a lā ta rau na an nī ụ fil kai la wa a na khai rul mun zi lī
12;60;1;فَاِنْ لَّمْ تَأْتُوْنِيْ بِهٖ فَلَا كَيْلَ لَكُمْ عِنْدِيْ وَلَا تَقْرَبُوْنِ;fa il lam ta`tụnī bihī fa lā kaila lakum 'indī wa lā taqrabụn;fa il lam ta` tụ nī bi hī fa lā kai la la kum 'in dī wa lā taq ra bụn
12;61;1;قَالُوْا سَنُرَاوِدُ عَنْهُ اَبَاهُ وَاِنَّا لَفَاعِلُوْنَ;qālụ sanurāwidu 'an-hu abāhu wa innā lafā'ilụn;qā lụ sa nu rā wi du 'an hu a bā hu wa in nā la fā 'i lụn
12;62;1;وَقَالَ لِفِتْيٰنِهِ اجْعَلُوْا بِضَاعَتَهُمْ فِيْ رِحَالِهِمْ لَعَلَّهُمْ يَعْرِفُوْنَهَآ;wa qāla lifityānihij'alụ biḍā'atahum fī riḥālihim la'allahum ya'rifụnahā ;wa qā la li fit yā ni hij 'a lụ bi ḍā 'a ta hum fī ri ḥā li him la 'al la hum ya' ri fụ na hā
12;62;2;اِذَا انْقَلَبُوْٓا اِلٰٓى اَهْلِهِمْ لَعَلَّهُمْ يَرْجِعُوْنَ; iżangqalabū ilā ahlihim la'allahum yarji'ụn;ā i żang qa la bū i lā ah li him la 'al la hum yar ji 'ụn
12;63;1;فَلَمَّا رَجَعُوْٓا اِلٰٓى اَبِيْهِمْ قَالُوْا يٰٓاَبَانَا مُنِعَ مِنَّا الْكَيْلُ;fa lammā raja'ū ilā abīhim qālụ yā abānā muni'a minnal-kai;fa lam mā ra ja 'ū i lā a bī him qā lụ yā a bā nā mu ni 'a min nal kai
12;63;2;فَاَرْسِلْ مَعَنَآ اَخَانَا نَكْتَلْ وَاِنَّا لَهٗ لَحٰفِظُوْنَ; fa arsil ma'anā akhānā naktal wa innā lahụ laḥāfiẓ;u fa ar sil ma 'a nā a khā nā nak tal wa in nā la hụ la ḥā fi ẓ
12;64;1;قَالَ هَلْ اٰمَنُكُمْ عَلَيْهِ اِلَّا كَمَآ اَمِنْتُكُمْ عَلٰٓى اَخِيْهِ;qāla hal āmanukum 'alaihi illā kamā amintukum 'alā akhīhi;qā la hal ā ma nu kum 'a lai hi il lā ka mā a min tu kum 'a lā a khī hi
12;64;2;مِنْ قَبْلُۗ فَاللّٰهُ خَيْرٌ حٰفِظًا وَّهُوَ اَرْحَمُ الرّٰحِمِيْنَ;ming qabl, fallāhu khairun ḥāfiẓaw wa huwa ar-ḥamur-rāḥim;l llā hu khai run ḥā fi ẓaw wa hu wa ar ḥa mur rā ḥi mīn
12;65;1;وَلَمَّا فَتَحُوْا مَتَاعَهُمْ وَجَدُوْا بِضَاعَتَهُمْ رُدَّتْ اِلَيْهِمْۗ قَالُوْا;wa lammā fataḥụ matā'ahum wajadụ biḍā'atahum ruddat ilaihim, qā;wa lam mā fa ta ḥụ ma tā 'a hum wa ja dụ bi ḍā 'a ta hum rud dat i lai him , qā
12;65;2;يٰٓاَبَانَا مَا نَبْغِيْۗ هٰذِهٖ بِضَاعَتُنَا رُدَّتْ اِلَيْنَا وَنَمِيْرُ اَهْلَنَا;yā abānā mā nabgī, hāżihī biḍā'atunā ruddat ilainā wa namīru ahl;ụ yā a bā nā mā nab gī , hā żi hī bi ḍā 'a tu nā rud dat i lai nā wa na mī ru ah l
12;65;3;وَنَحْفَظُ اَخَانَا وَنَزْدَادُ كَيْلَ بَعِيْرٍۗ ذٰلِكَ كَيْلٌ يَّسِيْرٌ; wa naḥfaẓu akhānā wa nazdādu kaila ba'īr, żālika kailuy yasīr;ā wa naḥ fa ẓu a khā nā wa naz dā du kai la ba 'īr , żā li ka kai luy ya sīr
12;66;1;قَالَ لَنْ اُرْسِلَهٗ مَعَكُمْ حَتّٰى تُؤْتُوْنِ مَوْثِقًا مِّنَ اللّٰهِ;qāla lan ursilahụ ma'akum ḥattā tu`tụni mauṡiqam minallāh;qā la lan ur si la hụ ma 'a kum ḥat tā tu` tụ ni mau ṡi qam mi nall ll
12;66;2;لَتَأْتُنَّنِيْ بِهٖٓ اِلَّآ اَنْ يُّحَاطَ بِكُمْۚ فَلَمَّآ اٰتَوْهُ;lata`tunnanī bihī illā ay yuḥāṭa bikum, fa lammā āta;i la ta` tun na nī bi hī il lā ay yu ḥā ṭa bi kum , fa lam mā ā ta
12;66;3;مَوْثِقَهُمْ قَالَ اللّٰهُ عَلٰى مَا نَقُوْلُ وَكِيْلٌ;u mauṡiqahum qālallāhu 'alā mā naqụlu wakīl;l llā hu 'a lā mā na qụ lu wa kīl
12;67;1;وَقَالَ يٰبَنِيَّ لَا تَدْخُلُوْا مِنْۢ بَابٍ وَّاحِدٍ وَّادْخُلُوْا مِنْ اَبْوَابٍ;wa qāla yā baniyya lā tadkhulụ mim bābiw wāḥidiw wadkhulụ min abwā;wa qā la yā ba niy ya lā tad khu lụ mim bā biw wā ḥi diw wad khu lụ min ab wā
12;67;2;مُّتَفَرِّقَةٍۗ وَمَآ اُغْنِيْ عَنْكُمْ مِّنَ اللّٰهِ مِنْ شَيْءٍۗ اِنِ الْحُكْمُ اِلَّا;mutafarriqah, wa mā ugnī 'angkum minallāhi min syaī`, inil-ḥukmu ill;m mu ta far ri qah , wa mā ug nī 'ang kum mi nall llā hi min syaī` , i nil ḥuk mu i
12;67;3;لِلّٰهِ ۗعَلَيْهِ تَوَكَّلْتُ وَعَلَيْهِ فَلْيَتَوَكَّلِ الْمُتَوَكِّلُوْنَ; lillāh, 'alaihi tawakkaltu wa 'alaihi falyatawakkalil-mutawakkil;ā lil lāh , 'a lai hi ta wak kal tu wa 'a lai hi fal ya ta wak ka lil mu ta wak ki l
12;68;1;وَلَمَّا دَخَلُوْا مِنْ حَيْثُ اَمَرَهُمْ اَبُوْهُمْۗ مَا كَانَ يُغْنِيْ عَنْهُمْ;lammā dakhalụ min ḥaiṡu amarahum abụhum, mā kāna yugnī 'an-hum;a lam mā da kha lụ min ḥai ṡu a ma ra hum a bụ hum , mā kā na yug nī 'an hum
12;68;2;مِّنَ اللّٰهِ مِنْ شَيْءٍ اِلَّا حَاجَةً فِيْ نَفْسِ يَعْقُوْبَ قَضٰىهَاۗ وَاِنَّهٗ;minallāhi min syai`in illā ḥājatan fī nafsi ya'qụba qaḍāhā, wa inna;l llā hi min syai `in il lā ḥā ja tan fī naf si ya' qụ ba qa ḍā hā , wa in na hụ la
12;68;3;لَذُوْ عِلْمٍ لِّمَا عَلَّمْنٰهُ وَلٰكِنَّ اَكْثَرَ النَّاسِ لَا يَعْلَمُوْنَ ࣖ; lażụ 'ilmil limā 'allamnāhu wa lākinna akṡaran-nāsi lā ya'lamụn;ụ la żụ 'il mil li mā 'al lam nā hu wa lā kin na ak ṡa ran nā si lā ya' la mụn
12;69;1;وَلَمَّا دَخَلُوْا عَلٰى يُوْسُفَ اٰوٰٓى اِلَيْهِ اَخَاهُ قَالَ اِنِّيْٓ;wa lammā dakhalụ 'alā yụsufa āwā ilaihi akhāhu qāla innī;wa lam mā da kha lụ 'a lā yụ su fa ā wā i lai hi a khā hu qā la in nī
12;69;2;اَنَا۠ اَخُوْكَ فَلَا تَبْتَىِٕسْ بِمَا كَانُوْا يَعْمَلُوْنَ;ana akhụka fa lā tabta`is bimā kānụ ya'malụn;ī a na a khụ ka fa lā tab ta `is bi mā kā nụ ya' ma lụn
12;70;1;فَلَمَّا جَهَّزَهُمْ بِجَهَازِهِمْ جَعَلَ السِّقَايَةَ فِيْ رَحْلِ اَخِيْهِ;fa lammā jahhazahum bijahāzihim ja'alas-siqāyata fī raḥli akhīh;fa lam mā jah ha za hum bi ja hā zi him ja 'a las si qā ya ta fī raḥ li a khī h
12;70;2;ثُمَّ اَذَّنَ مُؤَذِّنٌ اَيَّتُهَا الْعِيْرُ اِنَّكُمْ لَسَارِقُوْنَ;ṡumma ażżana mu`ażżinun ayyatuhal-'īru innakum lasāriqụn;i ṡum ma aż ża na mu `aż żi nun ay ya tu hal 'ī ru in na kum la sā ri qụn
12;71;1;قَالُوْا وَاَقْبَلُوْا عَلَيْهِمْ مَّاذَا تَفْقِدُوْنَ;qālụ wa aqbalụ 'alaihim māżā tafqidụn;qā lụ wa aq ba lụ 'a lai him mā żā taf qi dụn
12;72;1;قَالُوْا نَفْقِدُ صُوَاعَ الْمَلِكِ وَلِمَنْ جَاۤءَ بِهٖ حِمْلُ بَعِيْرٍ وَّاَنَا۠ بِهٖ زَعِيْمٌ;qālụ nafqidu ṣuwā'al-maliki wa liman jā`a bihī ḥimlu ba'īriw wa ana bihī za'īm;qā lụ naf qi du ṣu wā 'al ma li ki wa li man jā `a bi hī ḥim lu ba 'ī riw wa a na bi hī za 'īm
12;73;1;قَالُوْا تَاللّٰهِ لَقَدْ عَلِمْتُمْ مَّا جِئْنَا لِنُفْسِدَ فِى الْاَرْضِ وَمَا كُنَّا سَارِقِيْنَ;qālụ tallāhi laqad 'alimtum mā ji`nā linufsida fil-arḍi wa mā kunnā sāriqīn;l llā hi la qad 'a lim tum mā ji` nā li nuf si da fil ar ḍi wa mā kun nā sā ri qīn
12;74;1;قَالُوْا فَمَا جَزَاۤؤُهٗٓ اِنْ كُنْتُمْ كٰذِبِيْنَ;qālụ fa mā jazā`uhū ing kuntum kāżibīn;qā lụ fa mā ja zā `u hū ing kun tum kā żi bīn
12;75;1;قَالُوْا جَزَاۤؤُهٗ مَنْ وُّجِدَ فِيْ رَحْلِهٖ فَهُوَ جَزَاۤؤُهٗ ۗ كَذٰلِكَ نَجْزِى الظّٰلِمِيْنَ;qālụ jazā`uhụ maw wujida fī raḥlihī fa huwa jazā`uh, każālika najziẓ-ẓālimīn;qā lụ ja zā `u hụ maw wu ji da fī raḥ li hī fa hu wa ja zā `uh , ka żā li ka naj ziẓ ẓā li mīn
12;76;1;فَبَدَاَ بِاَوْعِيَتِهِمْ قَبْلَ وِعَاۤءِ اَخِيْهِ ثُمَّ اسْتَخْرَجَهَا;fa bada`a bi`au'iyatihim qabla wi'ā`i akhīhi ṡummastakhrajahā;fa ba da `a bi `au 'i ya ti him qab la wi 'ā `i a khī hi ṡum mas takh ra ja hā
12;76;2;مِنْ وِّعَاۤءِ اَخِيْهِۗ كَذٰلِكَ كِدْنَا لِيُوْسُفَۗ مَا كَانَ لِيَأْخُذَ; miw wi'ā`i akhīh, każālika kidnā liyụsuf, mā kāna liya`khuża;ā miw wi 'ā `i a khīh , ka żā li ka kid nā li yụ suf , mā kā na li ya` khu ża
12;76;3;اَخَاهُ فِيْ دِيْنِ الْمَلِكِ اِلَّآ اَنْ يَّشَاۤءَ اللّٰهُ ۗنَرْفَعُ;akhāhu fī dīnil-maliki illā ay yasyā`allāh, narfa'u;a a khā hu fī dī nil ma li ki il lā ay ya syā `all llāh , nar fa
12;76;4;دَرَجَاتٍ مَّنْ نَّشَاۤءُۗ وَفَوْقَ كُلِّ ذِيْ عِلْمٍ عَلِيْمٌ;u darajātim man nasyā`, wa fauqa kulli żī 'ilmin 'alīm;'u da ra jā tim man na syā` , wa fau qa kul li żī 'il min 'a līm
12;77;1;۞ قَالُوْٓا اِنْ يَّسْرِقْ فَقَدْ سَرَقَ اَخٌ لَّهٗ مِنْ قَبْلُۚ فَاَسَرَّهَا;qālū iy yasriq fa qad saraqa akhul lahụ ming qabl, fa asarra;qā lū iy yas riq fa qad sa ra qa a khul la hụ ming qabl , fa a sar ra
12;77;2;يُوْسُفُ فِيْ نَفْسِهٖ وَلَمْ يُبْدِهَا لَهُمْۚ قَالَ اَنْتُمْ شَرٌّ;sufu fī nafsihī wa lam yubdihā lahum, qāla antum syarru;ụ su fu fī naf si hī wa lam yub di hā la hum , qā la an tum syar ru
12;77;3;مَّكَانًا ۚوَاللّٰهُ اَعْلَمُ بِمَا تَصِفُوْنَ; makānā, wallāhu a'lamu bimā taṣifụn;l llā hu a' la mu bi mā ta ṣi fụn
12;78;1;قَالُوْا يٰٓاَيُّهَا الْعَزِيْزُ اِنَّ لَهٗٓ اَبًا شَيْخًا كَبِيْرًا;qālụ yā ayyuhal-'azīzu inna lahū aban syaikhang kabī;qā lụ yā ay yu hal 'a zī zu in na la hū a ban syai khang ka bī
12;78;2;فَخُذْ اَحَدَنَا مَكَانَهٗ ۚاِنَّا نَرٰىكَ مِنَ الْمُحْسِنِيْنَ;fa khuż aḥadanā makānah, innā narāka minal-muḥsin;n fa khuż a ḥa da nā ma kā nah , in nā na rā ka mi nal muḥ si n
12;79;1;قَالَ مَعَاذَ اللّٰهِ اَنْ نَّأْخُذَ اِلَّا مَنْ وَّجَدْنَا مَتَاعَنَا عِنْدَهٗٓ ۙاِنَّآ اِذًا لَّظٰلِمُوْنَ ࣖ;qāla ma'āżallāhi an na`khuża illā maw wajadnā matā'anā 'indahū innā iżal laẓālimụn;l llā hi an na` khu ża il lā maw wa jad nā ma tā 'a nā 'in da hū in nā i żal la ẓā li mụn
12;80;1;فَلَمَّا اسْتَا۟يْـَٔسُوْا مِنْهُ خَلَصُوْا نَجِيًّاۗ قَالَ كَبِيْرُهُمْ اَلَمْ;fa lammastai`asụ min-hu khalaṣụ najiyyā, qāla kabīruhum a l;fa lam mas tai `a sụ min hu kha la ṣụ na jiy yā , qā la ka bī ru hum a l
12;80;2;تَعْلَمُوْٓا اَنَّ اَبَاكُمْ قَدْ اَخَذَ عَلَيْكُمْ مَّوْثِقًا مِّنَ اللّٰهِ وَمِنْ;ta'lamū anna abākum qad akhaża 'alaikum mauṡiqam minallāhi wa mi;m ta' la mū an na a bā kum qad a kha ża 'a lai kum mau ṡi qam mi nall llā hi wa
12;80;3;قَبْلُ مَا فَرَّطْتُّمْ فِيْ يُوْسُفَ فَلَنْ اَبْرَحَ الْاَرْضَ حَتّٰى يَأْذَنَ;qablu mā farrattum fī yụsufa fa lan abraḥal-arḍa ḥattā ya`żan;g qab lu mā far rat tum fī yụ su fa fa lan ab ra ḥal ar ḍa ḥat tā ya` ża n
12;80;4;لِيْٓ اَبِيْٓ اَوْ يَحْكُمَ اللّٰهُ لِيْۚ وَهُوَ خَيْرُ الْحٰكِمِيْنَ;lī abī au yaḥkumallāhu lī, wa huwa khairul-ḥākim;l llā hu lī , wa hu wa khai rul ḥā ki mīn
12;81;1;اِرْجِعُوْٓا اِلٰٓى اَبِيْكُمْ فَقُوْلُوْا يٰٓاَبَانَآ اِنَّ ابْنَكَ سَرَقَۚ;irji'ū ilā abīkum fa qụlụ yā abānā innabnaka saraq, ;ir ji 'ū i lā a bī kum fa qụ lụ yā a bā nā in nab na ka sa raq ,
12;81;2;وَمَا شَهِدْنَآ اِلَّا بِمَا عَلِمْنَا وَمَا كُنَّا لِلْغَيْبِ حٰفِظِيْنَ;wa mā syahidnā illā bimā 'alimnā wa mā kunnā lil-gaibi ḥāfiẓ;, wa mā sya hid nā il lā bi mā 'a lim nā wa mā kun nā lil gai bi ḥā fi ẓ
12;82;1;وَسْـَٔلِ الْقَرْيَةَ الَّتِيْ كُنَّا فِيْهَا وَالْعِيْرَ الَّتِيْٓ اَقْبَلْنَا فِيْهَاۗ وَاِنَّا لَصٰدِقُوْنَ;was`alil-qaryatallatī kunnā fīhā wal-'īrallatī aqbalnā fīhā, wa innā laṣādiqụn;was `a lil qar ya tal la tī kun nā fī hā wal 'ī ral la tī aq bal nā fī hā , wa in nā la ṣā di qụn
12;83;1;قَالَ بَلْ سَوَّلَتْ لَكُمْ اَنْفُسُكُمْ اَمْرًاۗ فَصَبْرٌ جَمِيْلٌ ۗعَسَى اللّٰهُ;qāla bal sawwalat lakum anfusukum amrā, fa ṣabrun jamīl, 'asallāhu;qā la bal saw wa lat la kum an fu su kum am rā , fa ṣab run ja mīl , 'a sall llā
12;83;2;اَنْ يَّأْتِيَنِيْ بِهِمْ جَمِيْعًاۗ اِنَّهٗ هُوَ الْعَلِيْمُ الْحَكِيْمُ; ya`tiyanī bihim jamī'ā, innahụ huwal-'alīmul-ḥakīm;y ya` ti ya nī bi him ja mī 'ā , in na hụ hu wal 'a lī mul ḥa kīm
12;84;1;وَتَوَلّٰى عَنْهُمْ وَقَالَ يٰٓاَسَفٰى عَلٰى يُوْسُفَ وَابْيَضَّتْ عَيْنٰهُ مِنَ الْحُزْنِ فَهُوَ كَظِيْمٌ;wa tawallā 'an-hum wa qāla yā asafā 'alā yụsufa wabyaḍḍat 'aināhu minal-ḥuzni fa huwa kaẓīm;wa ta wal lā 'an hum wa qā la yā a sa fā 'a lā yụ su fa wab yaḍ ḍat 'ai nā hu mi nal ḥuz ni fa hu wa ka ẓīm
12;85;1;قَالُوْا تَاللّٰهِ تَفْتَؤُا تَذْكُرُ يُوْسُفَ حَتّٰى تَكُوْنَ حَرَضًا اَوْ تَكُوْنَ مِنَ الْهَالِكِيْنَ;qālụ tallāhi tafta`u tażkuru yụsufa ḥattā takụna ḥaraḍan au takụna minal-hālikīn;l llā hi taf ta `u taż ku ru yụ su fa ḥat tā ta kụ na ḥa ra ḍan au ta kụ na mi nal hā li kīn
12;86;1;قَالَ اِنَّمَآ اَشْكُوْا بَثِّيْ وَحُزْنِيْٓ اِلَى اللّٰهِ وَاَعْلَمُ مِنَ اللّٰهِ مَا لَا تَعْلَمُوْنَ;qāla innamā asykụ baṡṡī wa ḥuznī ilallāhi wa a'lamu minallāhi mā lā ta'lamụn;qā la in na mā asy kụ baṡ ṡī wa ḥuz nī i lall llā hi wa a' la mu mi nall llā hi mā lā ta' l
12;87;1;يٰبَنِيَّ اذْهَبُوْا فَتَحَسَّسُوْا مِنْ يُّوْسُفَ وَاَخِيْهِ;baniyyaż-habụ fa taḥassasụ miy yụsufa wa akhīhi;ā ba niy yaż ha bụ fa ta ḥas sa sụ miy yụ su fa wa a khī hi
12;87;2;وَلَا تَا۟يْـَٔسُوْا مِنْ رَّوْحِ اللّٰهِ ۗاِنَّهٗ لَا يَا۟يْـَٔسُ;wa lā tai`asụ mir rauḥillāh, innahụ lā yai`asu;i wa lā tai `a sụ mir rau ḥil lāh , in na hụ lā yai `a su
12;87;3;مِنْ رَّوْحِ اللّٰهِ اِلَّا الْقَوْمُ الْكٰفِرُوْنَ; mir rauḥillāhi illal-qaumul-kāfir;u mir rau ḥil lā hi il lal qau mul kā fi r
12;88;1;فَلَمَّا دَخَلُوْا عَلَيْهِ قَالُوْا يٰٓاَيُّهَا الْعَزِيْزُ مَسَّنَا وَاَهْلَنَا;fa lammā dakhalụ 'alaihi qālụ yā ayyuhal-'azīzu massanā wa ahla;fa lam mā da kha lụ 'a lai hi qā lụ yā ay yu hal 'a zī zu mas sa nā wa ah la
12;88;2;الضُّرُّ وَجِئْنَا بِبِضَاعَةٍ مُّزْجٰىةٍ فَاَوْفِ لَنَا الْكَيْلَ وَتَصَدَّقْ;ḍ-ḍurru wa ji`nā bibiḍā'atim muzjātin fa aufi lanal-kaila wa taṣad;aḍ ḍur ru wa ji` nā bi bi ḍā 'a tim muz jā tin fa au fi la nal kai la wa ta ṣad
12;88;3;عَلَيْنَاۗ اِنَّ اللّٰهَ يَجْزِى الْمُتَصَدِّقِيْنَ;'alainā, innallāha yajzil-mutaṣaddiqī;l llā ha yaj zil mu ta ṣad di qīn
12;89;1;قَالَ هَلْ عَلِمْتُمْ مَّا فَعَلْتُمْ بِيُوْسُفَ وَاَخِيْهِ اِذْ اَنْتُمْ جَاهِلُوْنَ;qāla hal 'alimtum mā fa'altum biyụsufa wa akhīhi iż antum jāhilụn;qā la hal 'a lim tum mā fa 'al tum bi yụ su fa wa a khī hi iż an tum jā hi lụn
12;90;1;قَالُوْٓا ءَاِنَّكَ لَاَنْتَ يُوْسُفُۗ قَالَ اَنَا۠ يُوْسُفُ وَهٰذَآ;qālū a innaka la`anta yụsuf, qāla ana yụsufu wa hāż;qā lū a in na ka la `an ta yụ suf , qā la a na yụ su fu wa hā ż
12;90;2;اَخِيْ قَدْ مَنَّ اللّٰهُ عَلَيْنَاۗ اِنَّهٗ مَنْ يَّتَّقِ وَيَصْبِرْ;akhī qad mannallāhu 'alainā, innahụ may yattaqi wa yaṣ;l llā hu 'a lai nā , in na hụ may yat ta qi wa yaṣ bir fa in nall l
12;90;3;فَاِنَّ اللّٰهَ لَا يُضِيْعُ اَجْرَ الْمُحْسِنِيْنَ;fa innallāha lā yuḍī'u ajral-muḥsinī;l llā ha lā yu ḍī 'u aj ral muḥ si nīn
12;91;1;قَالُوْا تَاللّٰهِ لَقَدْ اٰثَرَكَ اللّٰهُ عَلَيْنَا وَاِنْ كُنَّا لَخٰطِـِٕيْنَ;qālụ tallāhi laqad āṡarakallāhu 'alainā wa ing kunnā lakhāṭi`īn;l llā hu 'a lai nā wa ing kun nā la khā ṭi `īn
12;92;1;قَالَ لَا تَثْرِيْبَ عَلَيْكُمُ الْيَوْمَۗ يَغْفِرُ اللّٰهُ لَكُمْ ۖوَهُوَ اَرْحَمُ الرّٰحِمِيْنَ;qāla lā taṡrība 'alaikumul-yaụm, yagfirullāhu lakum wa huwa ar-ḥamur-rāḥimīn;qā la lā taṡ rī ba 'a lai ku mul yaụm , yag fi rull llā hu la kum wa hu wa ar ḥa mur rā ḥi m
12;93;1;اِذْهَبُوْا بِقَمِيْصِيْ هٰذَا فَاَلْقُوْهُ عَلٰى وَجْهِ اَبِيْ;iż-habụ biqamīṣī hāżā fa alqụhu 'alā waj-hi a;iż ha bụ bi qa mī ṣī hā żā fa al qụ hu 'a lā waj hi a
12;93;2;يَأْتِ بَصِيْرًا ۚوَأْتُوْنِيْ بِاَهْلِكُمْ اَجْمَعِيْنَ ࣖ; ya`ti baṣīrā, wa`tụnī bi`ahlikum ajma'īn;ī ya` ti ba ṣī rā , wa` tụ nī bi `ah li kum aj ma 'īn
12;94;1;وَلَمَّا فَصَلَتِ الْعِيْرُ قَالَ اَبُوْهُمْ اِنِّيْ لَاَجِدُ رِيْحَ يُوْسُفَ لَوْلَآ اَنْ تُفَنِّدُوْنِ;wa lammā faṣalatil-'īru qāla abụhum innī la`ajidu rīḥa yụsufa lau lā an tufannidụn;wa lam mā fa ṣa la til 'ī ru qā la a bụ hum in nī la `a ji du rī ḥa yụ su fa lau lā an tu fan ni dụn
12;95;1;قَالُوْا تَاللّٰهِ اِنَّكَ لَفِيْ ضَلٰلِكَ الْقَدِيْمِ;qālụ tallāhi innaka lafī ḍalālikal-qadīm;l llā hi in na ka la fī ḍa lā li kal qa dīm
12;96;1;فَلَمَّآ اَنْ جَاۤءَ الْبَشِيْرُ اَلْقٰىهُ عَلٰى وَجْهِهٖ فَارْتَدَّ بَصِيْرًاۗ;fa lammā an jā`al-basyīru alqāhu 'alā waj-hihī fartadda baṣīr;fa lam mā an jā `al ba syī ru al qā hu 'a lā waj hi hī far tad da ba ṣī r
